Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1976","1976","%","12.029085","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1977","1977","million SLC","700.446989","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1977","1977","million USD","700.446989","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1977","1977","USD","517.809209","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1977","1977","million SLC","1833.432704","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1977","1977","USD","1355.374999","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1977","1977","million USD","1833.432704","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1977","1977","%","2.966842","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1977","1977","%","-1.017861","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1977","1977","%","2.966842","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1977","1977","%","0.20236","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","1977","1977","%","-1.017861","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1977","1977","%","-3.67536","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1978","1978","million SLC","728.337644","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1978","1978","million USD","728.337644","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1978","1978","USD","524.173977","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1978","1978","million SLC","2069.044577","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1978","1978","USD","1489.061197","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1978","1978","million USD","2069.044577","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1978","1978","%","3.981837","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1978","1978","%","12.85086","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1978","1978","%","3.981837","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1978","1978","%","1.229172","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","1978","1978","%","12.85086","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1978","1978","%","9.86341","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1979","1979","million SLC","846.107296","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1979","1979","million USD","846.107296","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1979","1979","USD","592.463985","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1979","1979","million SLC","2036.317412","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1979","1979","USD","1425.876758","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1979","1979","million USD","2036.317412","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1979","1979","%","16.169651","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1979","1979","%","-1.581753","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1979","1979","%","16.169651","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1979","1979","%","13.028119","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","1979","1979","%","-1.581753","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1979","1979","%","-4.24324","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1980","1980","million SLC","1073.980249","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1980","1980","million USD","1073.980249","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1980","1980","USD","731.06704","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1980","1980","million SLC","2333.589161","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1980","1980","USD","1588.493012","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1980","1980","million USD","2333.589161","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1980","1980","%","26.931922","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1980","1980","%","14.598498","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1980","1980","%","26.931922","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1980","1980","%","23.394343","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","1980","1980","%","14.598498","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1980","1980","%","11.40465","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1981","1981","million SLC","991.66136","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1981","1981","million USD","991.66136","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1981","1981","USD","655.555672","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1981","1981","million SLC","2187.739838","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1981","1981","USD","1446.244977","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1981","1981","million USD","2187.739838","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1981","1981","%","-7.664842","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1981","1981","%","-6.25","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1981","1981","%","-7.664842","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1981","1981","%","-10.328925","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","1981","1981","%","-6.25","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1981","1981","%","-8.954905","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1982","1982","million SLC","1054.084858","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1982","1982","million USD","1054.084858","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1982","1982","USD","675.266887","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1982","1982","million SLC","2375.802461","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1982","1982","USD","1521.984421","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1982","1982","million USD","2375.802461","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1982","1982","%","6.29484","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1982","1982","%","8.596206","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1982","1982","%","6.29484","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1982","1982","%","3.006795","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","1982","1982","%","8.596206","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1982","1982","%","5.236972","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1983","1983","million SLC","1093.711709","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1983","1983","million USD","1093.711709","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1983","1983","USD","675.640543","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1983","1983","million SLC","2285.091297","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1983","1983","USD","1411.61543","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1983","1983","million USD","2285.091297","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1983","1983","%","3.759361","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1983","1983","%","-3.818127","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1983","1983","%","3.759361","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61290","Annual growth US$ per capita","22008","Gross Domestic Product","1983","1983","%","0.055335","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6182","Annual growth US$, 2015 prices","22008","Gross Domestic Product","1983","1983","%","-3.818127","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61820","Annual growth US$ per capita, 2015 prices","22008","Gross Domestic Product","1983","1983","%","-7.25165","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6224","Value Standard Local Currency","22008","Gross Domestic Product","1984","1984","million SLC","1076.050329","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6110","Value US$","22008","Gross Domestic Product","1984","1984","million USD","1076.050329","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6119","Value US$ per capita","22008","Gross Domestic Product","1984","1984","USD","637.242367","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6225","Value Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1984","1984","million SLC","2399.992105","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6185","Value US$ per capita, 2015 prices","22008","Gross Domestic Product","1984","1984","USD","1421.287285","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6184","Value US$, 2015 prices","22008","Gross Domestic Product","1984","1984","million USD","2399.992105","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61550","Annual growth Standard Local Currency","22008","Gross Domestic Product","1984","1984","%","-1.614811","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","61810","Annual growth Standard Local Currency, 2015 prices","22008","Gross Domestic Product","1984","1984","%","5.028281","X","Figure from external organization",""
"MK","Macro Indicators","275","Palestine","6129","Annual growth US$","22008","Gross Domestic Product","1984","1984","%","-1.614811","X","Figure from external organization",""
